ชลบุรี ,สถานศึกษา ,7300 ,
ชลบุรี ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9050 ,
ชลบุรี ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9900 ,
ชลบุรี ,โรงมหรสพ ,7800 ,
ชลบุรี ,สถานพยาบาล ,9050 ,
ชลบุรี ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7200 ,
ชลบุรี ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8500 ,
ชลบุรี ,ภัตตาคาร  ,6450 ,
ชลบุรี ,ห้างสรรพสินค้า ,9050 ,
ชลบุรี ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7800 ,
ชลบุรี ,สถานีบริการน้ำมันเชื้อเพลิง ,5300 , พื้นที่อาคารและบริเวณหัวจ่าย
ชลบุรี ,โรงงาน ,6000 ,
ชลบุรี ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3450 , พื้นที่ของแต่ละอาคาร
ชลบุรี ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3750 , พื้นที่ของแต่ละอาคาร
ชลบุรี ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8550 ,
ชลบุรี ,โรงงานซ่อมรถยนต์ ,5550 ,
ชัยนาท ,ประเภทบ้านเดี่ยว ,6650 ,
ชัยนาท ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,6600 ,
ชัยนาท ,ประเภทห้องแถว ,6850 ,
ชัยนาท ,ประเภทตึกแถว ,7450 ,
ชัยนาท ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5650 ,
ชัยนาท ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3450 ,
ชัยนาท ,สถานศึกษา ,6900 ,
ชัยนาท ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9200 ,
ชัยนาท ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9900 ,
ชัยนาท ,โรงมหรสพ ,7650 ,
ชัยนาท ,สถานพยาบาล ,9100 ,
ชัยนาท ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7100 ,
ชัยนาท ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8350 ,
ชัยนาท ,ภัตตาคาร  ,6400 ,
ชัยนาท ,ห้างสรรพสินค้า ,9400 ,
ชัยนาท ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,8000 ,
ชัยนาท ,สถานีบริการน้ำมันเชื้อเพลิง ,5350 , พื้นที่อาคารและบริเวณหัวจ่าย
ชัยนาท ,โรงงาน ,6000 ,
ชัยนาท ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3550 , พื้นที่ของแต่ละอาคาร
ชัยนาท ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3750 , พื้นที่ของแต่ละอาคาร
ชัยนาท ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8550 ,
ชัยนาท ,โรงงานซ่อมรถยนต์ ,5550 ,
ชัยภูมิ ,ประเภทบ้านเดี่ยว ,6500 ,
ชัยภูมิ ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,6800 ,
ชัยภูมิ ,ประเภทห้องแถว ,6300 ,
ชัยภูมิ ,ประเภทตึกแถว ,7350 ,
ชัยภูมิ ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5500 ,
ชัยภูมิ ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3350 ,
ชัยภูมิ ,สถานศึกษา ,7050 ,
ชัยภูมิ ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,8950 ,
ชัยภูมิ ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9600 ,
ชัยภูมิ ,โรงมหรสพ ,7650 ,
ชัยภูมิ ,สถานพยาบาล ,8850 ,
ชัยภูมิ ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,6950 ,
ชัยภูมิ ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8250 ,
ชัยภูมิ ,ภัตตาคาร  ,6300 ,
ชัยภูมิ ,ห้างสรรพสินค้า ,8900 ,
ชัยภูมิ ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7650 ,
ชัยภูมิ ,สถานีบริการน้ำมันเชื้อเพลิง ,5150 , พื้นที่อาคารและบริเวณหัวจ่าย
ชัยภูมิ ,โรงงาน ,5850 ,
ชัยภูมิ ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3450 , พื้นที่ของแต่ละอาคาร
ชัยภูมิ ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3650 , พื้นที่ของแต่ละอาคาร
ชัยภูมิ ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8500 ,
ชัยภูมิ ,โรงงานซ่อมรถยนต์ ,5400 ,
ชุมพร ,ประเภทบ้านเดี่ยว ,6700 ,
ชุมพร ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7050 ,
ชุมพร ,ประเภทห้องแถว ,6500 ,
ชุมพร ,ประเภทตึกแถว ,7650 ,
ชุมพร ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5500 ,
ชุมพร ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3400 ,
ชุมพร ,สถานศึกษา ,7050 ,
ชุมพร ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9350 ,
ชุมพร ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9750 ,
ชุมพร ,โรงมหรสพ ,7550 ,
ชุมพร ,สถานพยาบาล ,9200 ,
ชุมพร ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7200 ,
ชุมพร ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8650 ,
ชุมพร ,ภัตตาคาร  ,6750 ,
ชุมพร ,ห้างสรรพสินค้า ,9400 ,
ชุมพร ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7800 ,
ชุมพร ,สถานีบริการน้ำมันเชื้อเพลิง ,5600 , พื้นที่อาคารและบริเวณหัวจ่าย
ชุมพร ,โรงงาน ,6050 ,
ชุมพร ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3500 , พื้นที่ของแต่ละอาคาร
ชุมพร ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3750 , พื้นที่ของแต่ละอาคาร
ชุมพร ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8750 ,
ชุมพร ,โรงงานซ่อมรถยนต์ ,5850 ,
เชียงราย ,ประเภทบ้านเดี่ยว ,6750 ,
เชียงราย ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,6800 ,
เชียงราย ,ประเภทห้องแถว ,6600 ,
เชียงราย ,ประเภทตึกแถว ,7150 ,
เชียงราย ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5500 ,
เชียงราย ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3400 ,
เชียงราย ,สถานศึกษา ,6850 ,
เชียงราย ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9200 ,
เชียงราย ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,9700 ,
เชียงราย ,โรงมหรสพ ,7800 ,
เชียงราย ,สถานพยาบาล ,9000 ,
เชียงราย ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7200 ,
เชียงราย ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8500 ,
เชียงราย ,ภัตตาคาร  ,6600 ,
เชียงราย ,ห้างสรรพสินค้า ,9350 ,
เชียงราย ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7850 ,
เชียงราย ,สถานีบริการน้ำมันเชื้อเพลิง ,5650 , พื้นที่อาคารและบริเวณหัวจ่าย
เชียงราย ,โรงงาน ,6100 ,
เชียงราย ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3600 , พื้นที่ของแต่ละอาคาร
เชียงราย ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3800 , พื้นที่ของแต่ละอาคาร
เชียงราย ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,8500 ,
เชียงราย ,โรงงานซ่อมรถยนต์ ,5600 ,
เชียงใหม่ ,ประเภทบ้านเดี่ยว ,6750 ,
เชียงใหม่ ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7150 ,
เชียงใหม่ ,ประเภทห้องแถว ,7400 ,
เชียงใหม่ ,ประเภทตึกแถว ,7300 ,
เชียงใหม่ ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5650 ,
เชียงใหม่ ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3450 ,
เชียงใหม่ ,สถานศึกษา ,7300 ,
เชียงใหม่ ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9650 ,
